                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0198,                0.47767,                0.99612,                0.93259,                0.90778,                0.94085,                 0.5647,                  1.401,                 0.5147,                 1.3484,               0.008878,               0.008878,               0.008878
                     36,                 1.0186,                0.47301,                0.99803,                0.93187,                0.92444,                0.94031,                0.55145,                 1.3254,                0.50461,                  1.405,               0.008845,               0.008845,               0.008845
                     37,                 1.0017,                0.46858,                0.99573,                0.92842,                0.90429,                0.93092,                0.63598,                 1.0477,                  0.435,                  1.141,               0.008812,               0.008812,               0.008812
                     38,                 1.0095,                0.46667,                0.99074,                0.93549,                0.89861,                0.93096,                 0.5978,                 1.1821,                0.45273,                 1.2811,               0.008779,               0.008779,               0.008779
                     39,                 1.0008,                0.46446,                 0.9935,                0.93856,                  0.915,                0.94833,                0.64227,                  1.078,                0.45949,                 1.1979,               0.008746,               0.008746,               0.008746
                     40,                 1.0155,                0.47044,                0.99198,                0.94126,                0.90417,                0.93456,                0.62596,                 1.1063,                0.46904,                   1.18,               0.008713,               0.008713,               0.008713
                     41,                 1.0063,                 0.4664,                0.98989,                0.93281,                0.89611,                0.92656,                0.59302,                 1.2257,                0.45853,                 1.2808,                0.00868,                0.00868,                0.00868
                     42,                 1.0164,                0.46927,                0.98983,                 0.9409,                0.90111,                0.93694,                0.61071,                 1.1487,                0.48127,                 1.2425,               0.008647,               0.008647,               0.008647
                     43,                0.99985,                0.46001,                0.99511,                0.93252,                0.91367,                0.94262,                0.55934,                 1.3933,                0.53791,                  1.415,               0.008614,               0.008614,               0.008614
                     44,                0.99892,                 0.4596,                0.98932,                0.93403,                0.90068,                0.93042,                0.60646,                 1.1821,                0.46282,                 1.2562,               0.008581,               0.008581,               0.008581
                     45,                0.99441,                0.46049,                0.98846,                 0.9367,                0.89614,                0.93574,                0.63326,                 1.1619,                0.46253,                  1.218,               0.008548,               0.008548,               0.008548
                     46,                0.98794,                0.45619,                0.98332,                0.94369,                0.88861,                0.92978,                0.61603,                 1.1291,                0.47425,                 1.2304,               0.008515,               0.008515,               0.008515
                     47,                0.99296,                0.45389,                0.98458,                0.93494,                0.89816,                0.93324,                0.63055,                 1.0719,                0.45601,                 1.1551,               0.008482,               0.008482,               0.008482
                     48,                 0.9984,                0.45778,                0.98762,                0.93183,                0.92056,                0.94508,                 0.5841,                 1.2903,                0.48841,                 1.3615,               0.008449,               0.008449,               0.008449
                     49,                0.99107,                0.45497,                 0.9823,                0.93598,                0.86583,                 0.9147,                0.64227,                 1.0471,                0.50045,                 1.1637,               0.008416,               0.008416,               0.008416
                     50,                 1.0025,                0.45727,                0.98573,                0.93242,                 0.9045,                0.93281,                0.55641,                 1.3701,                0.49424,                 1.4085,               0.008383,               0.008383,               0.008383
                     51,                0.98834,                0.45354,                0.98426,                0.93104,                   0.86,                0.91365,                0.56559,                 1.2666,                0.53388,                 1.3231,                0.00835,                0.00835,                0.00835
                     52,                0.98099,                0.44989,                0.98186,                0.93703,                0.91765,                0.94611,                0.59679,                 1.2429,                0.46007,                 1.2845,               0.008317,               0.008317,               0.008317
                     53,                0.98426,                0.44906,                0.98376,                0.93667,                0.89565,                0.93279,                0.61679,                 1.1412,                0.46144,                 1.2154,               0.008284,               0.008284,               0.008284
                     54,                0.98498,                0.45351,                0.98174,                0.93456,                0.89389,                0.93229,                0.58199,                 1.3086,                0.49204,                 1.4282,               0.008251,               0.008251,               0.008251
                     55,                0.98299,                 0.4479,                 0.9823,                0.92972,                  0.904,                0.93722,                0.60869,                 1.1839,                0.48397,                 1.2532,               0.008218,               0.008218,               0.008218
                     56,                0.97618,                0.44887,                0.97842,                0.94335,                0.89737,                0.93426,                0.62665,                  1.121,                0.45009,                 1.2811,               0.008185,               0.008185,               0.008185
                     57,                0.98011,                0.44513,                0.98385,                0.92814,                0.90764,                0.93252,                0.59474,                 1.2186,                0.47001,                 1.2736,               0.008152,               0.008152,               0.008152
                     58,                0.97014,                0.44064,                0.97848,                0.92862,                0.92515,                0.94601,                0.59329,                 1.2708,                 0.5138,                  1.354,               0.008119,               0.008119,               0.008119
                     59,                0.96921,                0.44044,                 0.9791,                0.94086,                0.90595,                0.93402,                 0.6134,                 1.1083,                0.42894,                  1.259,               0.008086,               0.008086,               0.008086
                     60,                0.97185,                 0.4401,                0.98069,                0.94301,                0.91611,                0.94922,                0.61883,                 1.1738,                0.44684,                 1.2929,               0.008053,               0.008053,               0.008053
                     61,                0.97368,                0.44462,                0.97774,                 0.9409,                0.90657,                0.93597,                0.56367,                 1.3346,                0.48452,                 1.3986,                0.00802,                0.00802,                0.00802
